Country,GO Region,Institution
England,West Midlands,New College Telford
England,North East,Newcastle College
England,West Midlands,"Newman University College, Birmingham"
Wales,Wales,"University of Wales, Newport"
England,East Midlands,University of Northampton
England,East,Norwich University College Of The Arts
England,Greater London,Newham College of Further Education
England,South East,"NESCOT, Surrey"
England,South West,North Devon College
England,West Midlands,North East Worcestershire College
Scotland,,North Glasgow College
England,Yorkshire and Humberside,North Lindsey College
England,North East,Northumbria University
England,West Midlands,North Warwickshire and Hinckley College
England,South East,Northbrook College Sussex
England,East,City College Norwich
England,East Midlands,University of Nottingham
England,East Midlands,Nottingham Trent University
England,North East,Northumberland College
England,South East,Oxford University
England,South East,Oxford Brookes University
France,Paris,University of London Institute in Paris
Wales,Wales,Pembrokeshire College
England,South East,Oxford & Cherwell Valley College
England,East,University Centre Peterborough
England,South West,University of Plymouth
England,South West,UCP Marjon - University College Plymouth St Mark & St John
England,South West,Peninsula College of Medicine & Dentistry
England,South East,University of Portsmouth
Scotland,Scotland,"Queen Margaret University, Edinburgh"
England,Greater London,"Queen Mary, University of London"
Northern Ireland,Northern Ireland,Queen's University Belfast
England,South West,Plymouth College of Art
England,South East,The University of Reading
England,Greater London,Regents Business School London
England,Greater London,"Richmond, The American International University in London"
Scotland,Scotland,Robert Gordon University
England,Greater London,Roehampton University
England,Greater London,Ravensbourne College of Design and Communication
England,Greater London,Rose Bruford College
England,Yorkshire and Humberside,Rotherham College of Arts and Technology
England,Greater London,Royal Academy of Dance
England,South East,"Royal Holloway, University of London"
England,Greater London,Royal Veterinary College (University of London)
Wales,Wales,Royal Welsh College of Music and Drama (Coleg Brenhinol Cerdd a Drama Cymru)
England,South West,Royal Agricultural College
Scotland,Scotland,Scottish Agricultural College
England,North West,University of Salford
England,Greater London,SAE Institute
England,West Midlands,Sandwell College
England,Greater London,School of Oriental and African Studies (University of London)
England,Greater London,School of Pharmacy (University of London)
England,Yorkshire and Humberside,University of Sheffield
England,Yorkshire and Humberside,Sheffield Hallam University
England,South East,Ruskin College Oxford
England,West Midlands,Shrewsbury College of Arts and Technology
England,Yorkshire and Humberside,Sheffield College
England,South East,University of Southampton
England,West Midlands,Solihull College
England,South East,Southampton Solent University
England,South West,Somerset College of Arts and Technology
England,North West,South Cheshire College
England,South West,South Devon College
Scotland,Scotland,University of St Andrews
England,Greater London,Southwark College
England,South East,South Downs College
England,East Midlands,South Nottingham College
England,East,South East Essex College (Partner of the University of Essex)
England,North West,Southport College
England,Greater London,"St George's, University of London"
England,North West,St Helens College
England,North East,South Tyneside College
England,Greater London,"St Mary's University College, Twickenham"
England,South East,Sparsholt College Hampshire
England,West Midlands,Staffordshire University
England,West Midlands,Staffordshire University Regional Federation
England,East Midlands,Stephenson College Coalville
Scotland,Scotland,University of Stirling
England,North West,Stockport College
England,West Midlands,Stourbridge College
Scotland,Scotland,University of Strathclyde
Northern Ireland,Northern Ireland,Stranmillis University College: A College of Queen's University Belfast
England,East,University Campus Suffolk
England,North East,University of Sunderland
England,South East,University of Surrey
England,South East,University of Sussex
Wales,Wales,Swansea University
Wales,Wales,Swansea Metropolitan University
England,West Midlands,Stratford upon Avon College
England,South West,Swindon College
England,North East,Teesside University
England,Greater London,Thames Valley University
Wales,Wales,The University of Wales Trinity Saint David
England,North West,Tameside College
England,South West,Truro and Penwith College
Northern Ireland,Northern Ireland,University of Ulster
Scotland,Scotland,University of the West of Scotland
England,Greater London,University of the Arts London
England,Greater London,University College London (University of London)
England,Greater London,Uxbridge College
England,North East,Tyne Metropolitan College
England,Yorkshire and Humberside,Wakefield College
England,North West,Warrington Collegiate
England,West Midlands,University of Warwick
England,West Midlands,Walsall College
England,West Midlands,Warwickshire College
England,North West,West Cheshire College
England,East,"West Herts College, Watford Associate College of University of Hertfordshire"
England,Greater London,University of Westminster
England,Greater London,Westminster Kingsway College
England,Greater London,West Thames College
England,North West,Wigan and Leigh College
England,North West,Wirral Metropolitan College
England,South West,Wiltshire College
England,West Midlands,University of Wolverhampton
England,South East,University of Winchester
England,West Midlands,University of Worcester
England,West Midlands,Worcester College of Technology
England,East,Writtle College
England,Yorkshire and Humberside,University of York
England,Yorkshire and Humberside,York College
England,Yorkshire and Humberside,York St John University
England,Yorkshire and Humberside,Yorkshire Coast College of Further and Higher Education
